Company,Position,Skill,Location
퀄슨,[제품경험실] 개발팀 백엔드 개발자(전문연구요원 가능),"['Github', 'Django', 'MySQL', 'React', 'Redis', 'CSS', 'HTML', 'JavaScript', 'Python', 'TypeScript', 'AWS', 'FastAPI']",서울.한국
코드마인드,SW 엔지니어 (개발자),"['Linux', 'C / C++', 'Java', 'JavaScript', 'Kotlin', 'Python', 'Scala', 'XML', 'JSP', 'CentOS', 'Ubuntu']",서울.한국
키클롭스,앱 개발 (React Native),null,서울.한국
키클롭스,백엔드 개발 (Node),null,서울.한국
키클롭스,프론트엔드 개발 (React),null,서울.한국
잉카엔트웍스,"신입 화이트박스 크립토그래피 개발자(C,C++)","['Android', 'iOS']",서울.한국
트위니,[로봇사업본부] 백엔드 개발자 (전문연구요원 가능),null,대전.한국
트위니,[로봇개발본부] 자율주행 로봇 S/W 개발 (전문연구요원 가능),null,대전.한국
테스트뱅크,프론트엔드 개발자,"['Git', 'Github', 'GraphQL', 'React', 'AWS', 'React Native']",서울.한국
제이앤피메디(JNPMEDI),[100억↑투자] Back-end Software Engineer,"['Sketch', 'Confluence', 'JIRA', 'Slack', 'Adobe XD', 'Figma', 'Notion']",인천.한국
제이앤피메디(JNPMEDI),[100억↑투자] Front-end Software Engineer,"['Sketch', 'Confluence', 'JIRA', 'Slack', 'Adobe XD', 'Figma', 'Notion']",인천.한국
제이앤피메디(JNPMEDI),[100억↑투자] Fullstack Software Engineer,"['Sketch', 'Confluence', 'JIRA', 'Slack', 'Adobe XD', 'Figma', 'Notion']",인천.한국
클라우드호스피탈,프론트엔드 웹 개발자 (React),null,서울.한국
포자랩스,인공지능 NLP 개발자,null,서울.한국
이엘일렉트릭,S/W 개발(신입),"['Git', 'Github', 'Android', 'iOS', 'Linux', 'React', 'C#', 'JavaScript', 'Kotlin', 'SQL', 'AWS', 'Docker', 'Spring Framework', 'JPA', 'Xcode', 'Embedded Linux', 'Embedded C', 'React Native', 'Flutter']",경기.한국
에이에프아이,Devops 엔지니어 (신입),"['Java', 'JavaScript', 'AWS', 'TCP', 'C++', 'UDP', 'GCP', 'Unity3D', 'React.js']",서울.한국
코코네엠(coconeM),병역특례 S/W 개발 엔지니어 전문연구요원,"['MongoDB', 'Java', 'Python', 'AWS', 'Docker', 'GCP', 'Kubernetes']",서울.한국
심버스,프론트엔드 개발자,"['Confluence', 'JIRA', 'JavaScript', 'Go', 'Golang']",서울.한국
머니투데이,Server Developer(Web/PHP),null,서울.한국
메이아이,인공지능 리서처 (AI Researcher),"['Django', 'Python']",서울.한국
모빌린트,NPU Compiler Engineer,"['Git', 'Pytorch', 'Tensorflow', 'Perl', 'Python', '딥 러닝', 'C', 'C++', '운영체제', '펌웨어', 'FPGA', 'SoC', '컴퓨터 비전', 'Verilog', 'TCL', 'STP', 'Xilinx', 'RTL 설계', 'RTL 코딩']",서울.한국
선데이띵커,[판다랭크] 프론트엔드/풀스택 Nodejs 개발자,"['JavaScript', 'TypeScript', 'AWS', 'jQuery', 'HTML5', 'CSS3', 'NodeJS']",서울.한국
아트라미,백 앤드 개발자,"['React', 'CSS', 'HTML', 'Java', 'JavaScript', 'Node.js', 'PHP', 'Python', 'TypeScript', 'AWS', 'PostgreSQL', 'React.js', 'Spring Boot', 'Next.js', 'Nest.js']",대구.한국
아트라미,프론트앤드 개발자,"['React', 'CSS', 'HTML', 'Java', 'JavaScript', 'Node.js', 'PHP', 'Python', 'TypeScript', 'AWS', 'PostgreSQL', 'React.js', 'Spring Boot', 'Next.js', 'Nest.js']",대구.한국
위픽코퍼레이션,워드프레스 개발자,"['WordPress', 'HTML', 'JavaScript', 'CSS 자바 스크립트']",서울.한국
핫셀러,Python 백엔드 개발자(신입),"['Git', 'MySQL', 'Python', '개발', 'AWS', '솔루션 개발']",서울.한국
심심이,산업기능요원(보충역 신입만) 개발자,"['Git', 'Android', 'iOS', 'TypeScript', 'React Native']",서울.한국
와이더플래닛,프론트엔드 엔지니어,"['Git', 'React', 'Java', 'JavaScript', 'SQL', 'Maven', 'Spring Framework', 'Gradle', 'JPA', 'Spring Boot']",서울.한국
스니포,Flutter 프론트엔드 개발자,"['Git', 'Android', 'iOS', 'Flutter']",서울.한국
에이치디엑스윌,"벡엔드 개발자 (NodeJs, NestJs, MongoDB)","['Git', 'MongoDB', 'React', 'TypeScript', 'AWS', 'NodeJS', 'Nest.js']",서울.한국
에이치디엑스윌,"프론트 개발자 (React, TS, OpenGL)","['Git', 'MongoDB', 'React', 'TypeScript', 'AWS', 'NodeJS', 'Nest.js']",서울.한국
리디(RIDI),프론트엔드 엔지니어(Global),null,서울.한국
클러스터지원그룹,소프트웨어 엔지니어(POS시스템),"['Git', 'Android', 'MySQL', 'ASP', 'C#', 'HTML', 'Java', 'JavaScript', 'Node.js', 'Python', 'Visual Basic', 'jQuery', 'PowerBuilder', 'MSSQL']",서울.한국
클러스터지원그룹,웹개발자,"['Git', 'Android', 'MySQL', 'ASP', 'C#', 'HTML', 'Java', 'JavaScript', 'Node.js', 'Python', 'Visual Basic', 'jQuery', 'PowerBuilder', 'MSSQL']",서울.한국
클러스터지원그룹,소프트웨어 엔지니어(HR시스템),"['Git', 'Android', 'MySQL', 'ASP', 'C#', 'HTML', 'Java', 'JavaScript', 'Node.js', 'Python', 'Visual Basic', 'jQuery', 'PowerBuilder', 'MSSQL']",서울.한국
뉴지스탁,Back-end 개발자,"['Linux', 'C / C++', 'JavaScript', 'Python', 'SQL', 'Spring Framework']",서울.한국
코빗(Korbit),"백엔드 개발자 (Java, 주니어)","['MySQL', 'Java', 'Kotlin', 'Rust', 'Scala', 'AWS', 'Go', 'Golang', 'Apache Kafka', 'Spring Boot', 'Kubernetes']",서울.한국
웨이센(waycenInc.),Medical AI Research Engineer(Junior),null,서울.한국
모니터코퍼레이션,AI 백엔드/데이터 엔지니어,"['Git', 'Java', 'JavaScript', 'Python', 'AWS']",서울.한국
오지스,스마트 컨트랙트 개발자,null,서울.한국
오지스,백엔드 개발자,null,서울.한국
오지스,프론트 개발자 (시니어),null,서울.한국
구름,풀스택 개발자(3년 이하),"['Git', 'MongoDB', 'React', 'Redis', 'HTML', 'Java', 'JavaScript', 'Node.js', 'SQL', 'AWS', 'HTTP', 'jQuery', 'DevOps', 'ElasticSearch', 'NodeJS', '서버 관리', '서버 아키텍처']",경기.한국
엘리스,[신입] 백엔드 개발자,"['Kotlin', 'Flutter', 'WebRTC', 'Coroutine', 'Restful API']",서울.한국
스파이더크래프트,Windows Client 개발자,"['Git', 'MySQL', 'React', 'CSS', 'JavaScript', 'PHP', 'MSSQL', 'Notion']",서울.한국
단비교육,[윙크] Front-end Developer (ReactJS),null,서울.한국
미러,"[firebase,Vue.js] 풀스택 개발자","['Firebase', 'VueJS', 'Node.js', 'Next.js']",서울.한국
아하랩스,AI Engineer(신입),"['Pytorch', 'Tensorflow', 'Python']",경기.한국
이파피루스,솔루션 엔지니어(시스템엔지니어/SE),"['AJAX', 'MySQL', 'Java', 'SQL', 'Servlets']",경기.한국
쿤텍,Python Backend 개발자,"['Linux', 'Python']",서울.한국
쿤텍,보안 SW 개발자 신입,"['Linux', 'Python']",서울.한국
쿤텍,C 언어 개발자,"['Linux', 'Python']",서울.한국
휴톰,Computer Vision Fundamental Research Engineer,"['Git', 'MySQL', 'React', 'Node.js', 'TypeScript', 'PostgreSQL', 'ORM']",서울.한국
휴톰,AI/영상처리 알고리즘 - Surgical Navigation개발자,"['Git', 'MySQL', 'React', 'Node.js', 'TypeScript', 'PostgreSQL', 'ORM']",서울.한국
