Company,Position,Skill,Location
알로카도스,프론트엔드 Next.js ReactJS 외 1개,"['WPF', 'C#', 'Visual Basic', 'C++', '.NET', 'REST API', 'AWS EC2']",경력 무관 서울시 강남구
메타지,프론트엔드 AWS S3 AWS CloudFront 외 3개,"['Next.js', 'ReactJS', 'TypeScript']",경력 무관 서울특별시 강남구
클라썸,프론트엔드 안드로이드 iOS 외 3개,"['AWS S3', 'AWS CloudFront', 'PostgreSQL', 'AWS Lambda', 'React Native']",경력 무관 대한민국 서울특별시
잉카엔트웍스,서버/백엔드 안드로이드 C 외 3개,"['TypeScript', 'Redux.js', 'React Native']",경력 무관 서울 강남구
잉카엔트웍스,서버/백엔드 안드로이드 iOS 외 2개,"['C', 'C++', 'Java', 'Assembly']",경력 무관 서울 강남구
크레비스파트너스,서버/백엔드 웹 풀스택 응용 프로그램 외 3개,"['Java', 'Objective-C']",경력 무관 서울특별시 성동구
알로카도스,서버/백엔드 Redis Python 외 9개,"['Azure', '.NET', 'C#']",경력 무관 서울 강남구
새론솔루션,서버/백엔드 프론트엔드 웹 풀스택 외 4개,"['Redis', 'Python', 'Flask', 'FastAPI', 'Django', 'PostgreSQL', 'MongoDB', 'AWS DynamoDB', 'Docker', 'SQL', 'NoSQL']",경력 무관 경기도 의왕시
단비교육,서버/백엔드 PostgreSQL Aurora DB 외 5개,"['Python', 'Java', 'JavaScript', 'Spring']",경력 무관 서울 강남구
단비교육,프론트엔드 안드로이드 iOS 외 7개,"['PostgreSQL', 'Aurora DB', 'Git', 'DRF(Django REST framework)', 'Django', 'Python', 'REST API']",경력 무관 서울 강남구
잉카엔트웍스,서버/백엔드 머신러닝 인공지능(AI) 외 3개,"['Tailwind CSS', 'REST API', 'Webpack', 'Socket.IO', 'AWS Amplify', 'TypeScript', 'ReactJS']",경력 무관 서울 강남구
클라썸,프론트엔드 웹 풀스택 Redux.js 외 3개,"['Java', 'C', 'C++']",경력 무관 대한민국 서울특별시
아이티이지,서버/백엔드 웹 풀스택 시스템/네트워크,"['Redux.js', 'ReactJS', 'TypeScript', 'Sass(SCSS)']",경력 무관 서울 서초구
인스피언,서버/백엔드 Java Spring,null,경력 무관 서울특별시 금천구
에딘트,프론트엔드 안드로이드 iOS 외 6개,"['Java', 'Spring']",경력 무관 경기 성남시
오지스,서버/백엔드 블록체인 Git 외 8개,"['React Native', 'ReactJS', 'HTML', 'REST API', 'CSS', 'JavaScript']",경력 무관 서울 영등포구
룩코,서버/백엔드 웹 풀스택 Git 외 4개,"['Git', 'Jenkins', 'Node.js', 'Yarn', 'Redis', 'Web3.py', 'MySQL', 'Docker', 'AWS Alexa']",경력 무관 서울 강남구
샘표식품,서버/백엔드 웹 풀스택 ERP 외 8개,"['Git', 'Database', 'FastAPI', 'Go', 'Redis']",경력 무관 서울 중구
넥서스커뮤니티,서버/백엔드 MariaDB Oracle 외 4개,"['Java', 'Spring', 'HTML', 'JavaScript', 'CSS', 'jQuery', 'C#', 'Python']",경력 무관 서울 영등포구
클라썸,서버/백엔드 TypeScript NestJS,"['MariaDB', 'Oracle', 'Python', 'Big Data', 'NoSQL', 'Linux']",경력 무관 대한민국 서울특별시
웰트,서버/백엔드 Python SQL 외 6개,"['TypeScript', 'NestJS']",경력 무관 서울 서초구
아이오트러스트,프론트엔드 Node.js web3.js 외 6개,"['Python', 'SQL', 'Tableau', 'Scikit-Learn', 'Tensorflow', 'Apache Hadoop', 'Apache Spark', 'Go']",경력 무관 서울시 강남구
Coupang,서버/백엔드 웹 풀스택 데이터 엔지니어링 외 3개,"['Node.js', 'web3.js', 'Babel', 'Webpack', 'Vue.js', 'GitHub', 'Yarn', 'Storybook']",경력 무관 서울특별시 송파구
리드넘버,서버/백엔드 DBA 데브옵스 외 3개,"['Java', 'Spring', 'Python']",경력 무관 서울 관악구
한국클라우드,서버/백엔드 웹 풀스택 인공지능(AI) 외 7개,"['Git', 'Spring', 'Redis']",경력 무관 서울 금천구
뮤즈라이브,서버/백엔드 Django Python 외 2개,"['Git', 'NLP', 'Python', 'PyTorch', 'ReactJS', 'Redis', 'Docker']",경력 무관 서울특별시 마포구
